source_name;url;how_to_use
Портал открытых данных Российской Федерации;https://data.gov.ru/;Показать внешний источник, поставщика данных, формат и дату обновления
Реестр наборов данных data.gov.ru;https://data.gov.ru/datasets/;Показать карточку набора, поставщика, субъект, формат и структуру
API Банка России: документация;https://cbr.ru/statistics/data-service/APIdocumentation/;Показать REST API, JSON и описание структуры методов
Сервис получения данных Банка России;https://cbr.ru/statistics/data-service/;Показать выбор показателя, периода, разреза и выгрузку
Data.gov;https://data.gov/;Показать международный каталог открытых данных и метаданные
